Kingdom,Phylum,Class,Order,Family,Tax_label,ABOR.S006,ABOR.S015,ABOR.S017,ABOR.S019,ABOR.S021,ABOR.S023,ABOR.S034,ABOR.S039,ABOR.S041,ABOR.S043,ABOR.S045,ABOR.S047
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,*Rheinheimera*,1348000,7860000,563471000,305761000,9483000,8083000,223000,16494000,522705000,89943000,184573000,42290000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of *Comamonadaceae*,556000,2576000,1483000,915945000,5187000,468562000,280000,2201000,1742000,1066000,2442000,880000
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,*Pseudomonas*,306000,15138000,306760000,202860000,299218000,2111000,40000,2015000,2674000,1522000,1289000,1110000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Aquabacterium*,987000,231904000,6393000,66927000,46193000,85638000,127000,69883000,24246000,110101000,35575000,16895000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Inhella*,276000,9457000,3595000,17846000,4582000,2747000,118000,172815000,42732000,40765000,102565000,77653000
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,*Perlucidibaca*,90000,332000,16224000,259329000,560000,547000,8000,505000,557000,288000,349000,150000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,*Methylotenera*,146000,669000,2519000,4229000,169344000,977000,17000,1307000,954000,787000,1901000,386000
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Novosphingobium*,33000,293000,129000,459000,1139000,359000,10000,602000,33192000,126000,1056000,98000
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,*Vicinamibacteraceae*,2540000,1370000,960000,1592000,962000,1258000,2384000,2138000,851000,932000,1499000,1805000
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingopyxis*,18000,505000,281000,865000,1198000,274000,4000,2826000,1720000,171000,6039000,758000
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,*Candidatus_Omnitrophus*,2283000,1290000,470000,500000,419000,804000,1505000,2122000,469000,1119000,1302000,1745000
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Zambryskibacteria,Candidatus_Zambryskibacteria,*Candidatus_Zambryskibacteria*,2154000,945000,545000,905000,400000,259000,1801000,2035000,795000,793000,2052000,1273000
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,Woesearchaeales,*Woesearchaeales*,763000,836000,611000,624000,840000,1612000,536000,1733000,496000,518000,1321000,1433000
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,*Rickettsiales* (*SM2D12*),1473000,1009000,489000,674000,463000,641000,1055000,1277000,371000,533000,712000,1008000
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophales,*Omnitrophales*,2947000,538000,512000,453000,266000,506000,1668000,613000,299000,397000,455000,463000
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Family of Vicinamibacterales,Genus of *Vicinamibacterales*,860000,166000,275000,473000,270000,288000,1087000,1066000,300000,504000,586000,712000
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,*Bdellovibrio*,2254000,273000,373000,289000,191000,255000,1594000,313000,67000,197000,243000,263000
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,*Micrococcus*,186000,406000,246000,1393000,1130000,739000,9000,686000,480000,263000,288000,124000
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,*Microcystaceae* (*Synechocystis_PCC-6803*),2671000,1140000,570000,215000,217000,236000,3000,91000,88000,56000,41000,50000
Bacteria,Cyanobacteria,Vampirivibrionia,Caenarcaniphilales,Caenarcaniphilales,*Caenarcaniphilales*,350000,413000,146000,263000,181000,245000,454000,1012000,244000,309000,663000,418000
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Genus of *Rhodospirillaceae*,605000,509000,147000,209000,184000,539000,485000,650000,249000,211000,396000,385000
Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,*Cutibacterium*,119000,348000,258000,1089000,796000,487000,7000,559000,222000,216000,199000,200000
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,*Cloacibacterium*,156000,252000,305000,802000,769000,436000,7000,714000,303000,206000,207000,206000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Methyloversatilis*,44000,268000,470000,814000,320000,368000,5000,335000,212000,171000,129000,800000
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,*Nitrospira*,793000,334000,296000,286000,252000,273000,595000,290000,149000,154000,233000,274000
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Family of Micavibrionales,Genus of *Micavibrionales*,709000,329000,222000,192000,209000,252000,517000,539000,142000,257000,162000,230000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Ideonella*,0,177000,240000,163000,256000,41000,0,167000,1614000,46000,770000,55000
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,*Oligoflexia* (*0319-6G20*),726000,245000,144000,50000,142000,203000,598000,275000,25000,151000,238000,238000
Bacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,*Parcubacteria*,269000,241000,89000,257000,137000,70000,226000,575000,147000,190000,578000,129000
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,*Candidatus_Kaiserbacteria*,296000,151000,42000,277000,30000,83000,387000,223000,93000,193000,707000,356000
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Genus of *Sphingobacteriaceae*,692000,31000,165000,171000,112000,72000,682000,329000,124000,104000,239000,58000
Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Genus of *Gemmataceae*,163000,225000,40000,80000,75000,0,199000,539000,267000,125000,336000,656000
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,*Brevundimonas*,7000,26000,162000,138000,144000,12000,9000,163000,56000,43000,1847000,69000
Bacteria,Patescibacteria,Parcubacteria,Order of Parcubacteria,Family of Parcubacteria,Genus of *Parcubacteria*,225000,293000,61000,160000,136000,144000,202000,422000,80000,196000,442000,300000
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,*Hyphomonadaceae* (*SWB02*),86000,76000,42000,86000,31000,66000,155000,943000,184000,94000,707000,124000
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,*Rhizobiales* (*A0839*),243000,185000,106000,194000,87000,219000,227000,408000,106000,63000,192000,84000
Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,Vampirovibrionales,*Vampirovibrionales*,238000,239000,139000,38000,42000,80000,184000,366000,168000,122000,166000,266000
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,*Caulobacter*,1000,0,1628000,88000,240000,0,0,0,16000,0,48000,3000
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,*Pirellulaceae* (*Pir4_lineage*),213000,75000,153000,100000,118000,94000,167000,566000,50000,181000,104000,187000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,*Gallionella*,414000,108000,171000,216000,153000,165000,278000,161000,55000,68000,112000,105000
Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,BD2-11_terrestrial_group,BD2-11_terrestrial_group,*Gemmatimonadota* (*BD2-11_terrestrial_group*),133000,112000,70000,135000,59000,85000,306000,434000,60000,103000,298000,51000
Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,*Myxococcota* (*bacteriap25*),346000,53000,74000,77000,61000,66000,346000,242000,92000,89000,187000,143000
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,*Obscuribacteraceae*,156000,132000,36000,102000,38000,143000,89000,353000,41000,107000,254000,275000
