Kingdom,Phylum,Class,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Proteobacteria,*Gammaproteobacteria*,1985000,127671000,419507000,861448000,255979000,275680000
Bacteria,Proteobacteria,*Alphaproteobacteria*,1973000,2840000,5305000,3223000,4100000,1703000
Bacteria,Acidobacteriota,*Vicinamibacteria*,2402000,1561000,3186000,2772000,1702000,1556000
Bacteria,Verrucomicrobiota,*Omnitrophia*,4014000,1846000,2380000,1373000,978000,1316000
Bacteria,Bacteroidota,*Bacteroidia*,769000,469000,6796000,1067000,768000,426000
Archaea,Nanoarchaeota,*Nanoarchaeia*,602000,963000,1660000,904000,1391000,1793000
Bacteria,Patescibacteria,*Parcubacteria*,1745000,1430000,1353000,1546000,614000,366000
Bacteria,Actinobacteriota,*Actinobacteria*,99000,375000,609000,1597000,1180000,571000
Bacteria,Planctomycetota,*Planctomycetes*,483000,430000,636000,436000,474000,343000
Bacteria,Nitrospirota,*Nitrospiria*,699000,334000,737000,393000,340000,270000
Bacteria,Cyanobacteria,*Cyanobacteriia*,904000,572000,723000,145000,146000,119000
Bacteria,Bdellovibrionota,*Bdellovibrionia*,948000,165000,589000,220000,153000,153000
Bacteria,Cyanobacteria,*Vampirivibrionia*,225000,384000,351000,251000,139000,217000
Bacteria,Elusimicrobiota,*Lineage_IIc*,431000,153000,387000,290000,0,58000
Bacteria,Elusimicrobiota,*Lineage_IIa*,291000,90000,352000,176000,135000,81000
Bacteria,Patescibacteria,*Gracilibacteria*,217000,128000,334000,99000,179000,82000
Bacteria,Bdellovibrionota,*Oligoflexia*,370000,135000,229000,78000,32000,97000
Bacteria,Chloroflexi,*Dehalococcoidia*,171000,373000,63000,99000,92000,126000
Archaea,Halobacterota,*Methanosarcinia*,108000,45000,167000,52000,118000,146000
Archaea,Euryarchaeota,*Thermococci*,88000,36000,214000,65000,106000,55000
Archaea,Hadarchaeota,*Hadarchaeia*,43000,95000,186000,65000,67000,69000
Archaea,Crenarchaeota,*Bathyarchaeia*,26000,158000,72000,40000,111000,114000
Archaea,Aenigmarchaeota,*Aenigmarchaeia*,30000,167000,140000,0,106000,77000
Bacteria,Planctomycetota,*OM190*,274000,9000,158000,0,0,27000
Bacteria,Planctomycetota,*Phycisphaerae*,221000,71000,56000,56000,42000,16000
Bacteria,Chloroflexi,*Anaerolineae*,47000,23000,125000,128000,23000,59000
Bacteria,Planctomycetota,*BD7-11*,84000,47000,133000,51000,35000,52000
Bacteria,BHI80-139,*BHI80-139*,38000,53000,102000,108000,37000,58000
Bacteria,Myxococcota,*bacteriap25*,120000,28000,106000,59000,45000,32000
Archaea,Iainarchaeota,*Iainarchaeia*,10000,82000,35000,0,88000,165000
Bacteria,Gemmatimonadota,*BD2-11_terrestrial_group*,45000,59000,90000,94000,42000,44000
Bacteria,Chloroflexi,*JG30-KF-CM66*,83000,70000,118000,14000,81000,0
Bacteria,Entotheonellaeota,*Entotheonellia*,136000,14000,82000,58000,0,65000
Bacteria,Verrucomicrobiota,*Verrucomicrobiae*,151000,57000,49000,41000,5000,26000
Bacteria,Verrucomicrobiota,*Chlamydiae*,88000,75000,56000,44000,9000,23000
Bacteria,Dependentiae,*Babeliae*,107000,0,87000,44000,28000,0
Bacteria,Firmicutes,*Bacilli*,8000,20000,62000,109000,38000,23000
Bacteria,Elusimicrobiota,*Elusimicrobia*,85000,82000,36000,0,0,40000
Bacteria,Sva0485,*Sva0485*,42000,42000,69000,0,34000,11000
Bacteria,RCP2-54,*RCP2-54*,41000,23000,56000,37000,12000,22000
Bacteria,Elusimicrobiota,*Lineage_IIb*,117000,34000,0,0,0,26000
Bacteria,Myxococcota,*Polyangia*,81000,0,14000,14000,0,16000
Bacteria,Patescibacteria,*Microgenomatia*,12000,40000,0,37000,0,31000
Bacteria,Dadabacteria,*Dadabacteriia*,12000,23000,29000,35000,18000,0
Bacteria,Nitrospirota,*Thermodesulfovibrionia*,11000,17000,0,62000,0,15000
Bacteria,Acidobacteriota,*Blastocatellia*,47000,21000,35000,0,0,0
Bacteria,Actinobacteriota,*Thermoleophilia*,24000,0,0,45000,29000,0
Bacteria,SAR324_clade(Marine_group_B),*SAR324_clade(Marine_group_B)*,50000,15000,8000,0,5000,12000
Bacteria,Acidobacteriota,*Acidobacteriae*,51000,0,0,14000,17000,0
Bacteria,Zixibacteria,*Zixibacteria*,11000,21000,14000,30000,5000,0
Archaea,Thermoplasmatota,*Thermoplasmata*,6000,6000,34000,0,22000,0
