Kingdom,Phylum,Class,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Proteobacteria,*Gammaproteobacteria*,9.48,90.38,93.74,98.18,94.98,96.34
Bacteria,Verrucomicrobiota,*Omnitrophia*,19.41,1.29,0.53,0.16,0.36,0.46
Bacteria,Acidobacteriota,*Vicinamibacteria*,11.62,1.1,0.71,0.32,0.63,0.54
Bacteria,Proteobacteria,*Alphaproteobacteria*,9.27,1.98,1.18,0.36,1.51,0.59
Bacteria,Patescibacteria,*Parcubacteria*,8.34,0.99,0.3,0.18,0.23,0.13
Bacteria,Bacteroidota,*Bacteroidia*,3.51,0.32,1.52,0.12,0.28,0.15
Archaea,Nanoarchaeota,*Nanoarchaeia*,2.88,0.68,0.37,0.1,0.51,0.62
Bacteria,Cyanobacteria,*Cyanobacteriia*,4.37,0.4,0.16,0.02,0.05,0.04
Bacteria,Bdellovibrionota,*Bdellovibrionia*,4.45,0.11,0.13,0.02,0.05,0.05
Bacteria,Nitrospirota,*Nitrospiria*,3.4,0.23,0.16,0.04,0.12,0.09
Bacteria,Planctomycetota,*Planctomycetes*,2.17,0.29,0.14,0.05,0.17,0.12
Bacteria,Elusimicrobiota,*Lineage_IIc*,2.09,0.11,0.09,0.03,0,0.02
Bacteria,Bdellovibrionota,*Oligoflexia*,1.72,0.09,0.05,0.01,0.01,0.03
Bacteria,Actinobacteriota,*Actinobacteria*,0.49,0.26,0.14,0.18,0.44,0.2
Bacteria,Elusimicrobiota,*Lineage_IIa*,1.33,0.06,0.08,0.02,0.05,0.03
Bacteria,Cyanobacteria,*Vampirivibrionia*,1.05,0.27,0.08,0.03,0.05,0.07
Bacteria,Planctomycetota,*OM190*,1.3,0.01,0.04,0,0,0.01
Bacteria,Patescibacteria,*Gracilibacteria*,1.03,0.09,0.07,0.01,0.07,0.03
Bacteria,Chloroflexi,*Dehalococcoidia*,0.76,0.26,0.01,0.01,0.03,0.04
Bacteria,Planctomycetota,*Phycisphaerae*,1.03,0.05,0.01,0.01,0.02,0.01
Bacteria,Verrucomicrobiota,*Verrucomicrobiae*,0.68,0.04,0.01,0,0,0.01
