Kingdom,Phylum,Class,Order,Family,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Comamonadaceae*,2.95,85.05,3.11,76.38,13.62,95.28
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,*Pseudomonadaceae*,0.23,2.65,34.92,7.77,37.61,0.17
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,*Alteromonadaceae*,0.75,0.93,53.26,7.83,0.79,0.46
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Methylophilaceae*,0.27,0.24,0.71,0.33,42.64,0.17
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,*Omnitrophales*,10.88,0.38,0.32,0.07,0.13,0.17
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,*Vicinamibacteraceae*,8.56,0.98,0.55,0.25,0.5,0.44
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,*Omnitrophaceae*,7.5,0.87,0.21,0.08,0.22,0.27
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,*Moraxellaceae*,0.06,0.08,1.32,5.69,0.05,0.03
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Zambryskibacteria,*Candidatus_Zambryskibacteria*,5.43,0.47,0.23,0.1,0.16,0.05
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,*Microcystaceae*,4.37,0.4,0.16,0.02,0.05,0.04
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,*Bdellovibrionaceae*,4.11,0.1,0.12,0.02,0.05,0.05
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*Woesearchaeales*,2.42,0.5,0.33,0.09,0.37,0.53
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,*Nitrospiraceae*,3.4,0.23,0.16,0.04,0.12,0.09
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*SM2D12*,2.6,0.38,0.16,0.06,0.15,0.12
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,*Family* (*of*) Vicinamibacterales,2.82,0.12,0.15,0.07,0.13,0.1
Bacteria,Elusimicrobiota,Lineage_IIc,Lineage_IIc,*Lineage_IIc*,2.09,0.11,0.09,0.03,0,0.02
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,*Sphingomonadaceae*,0.21,0.53,0.18,0.17,0.97,0.18
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Nitrosomonadaceae*,1.69,0.19,0.07,0.04,0.08,0.05
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,*0319-6G20*,1.57,0.09,0.05,0.01,0.01,0.03
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,*Pirellulaceae*,1.2,0.14,0.09,0.03,0.1,0.07
Bacteria,Elusimicrobiota,Lineage_IIa,Lineage_IIa,*Lineage_IIa*,1.33,0.06,0.08,0.02,0.05,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Rhodocyclaceae*,0.14,0.99,0.2,0.07,0.09,0.07
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,*Flavobacteriaceae*,0.08,0.02,1.34,0.01,0.01,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,*Family* (*of*) Micavibrionales,1.13,0.12,0.06,0.02,0.07,0.05
Bacteria,Planctomycetota,OM190,OM190,*OM190*,1.3,0.01,0.04,0,0,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,*Rhodospirillaceae*,0.9,0.18,0.05,0.02,0.04,0.08
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,*Micrococcaceae*,0.31,0.14,0.07,0.11,0.28,0.12
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Gallionellaceae*,0.81,0.04,0.05,0.02,0.04,0.03
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,*Candidatus_Kaiserbacteria*,0.72,0.09,0.01,0.03,0.01,0.02
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,*Family* (*of*) Omnitrophales,0.81,0.03,0,0.01,0,0.02
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*Sphingobacteriaceae*,0.76,0.01,0.03,0.01,0.02,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,*Caulobacteraceae*,0.06,0.04,0.53,0.02,0.14,0.01
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,*Weeksellaceae*,0.26,0.1,0.09,0.06,0.2,0.08
Bacteria,Cyanobacteria,Vampirivibrionia,Caenarcaniphilales,*Caenarcaniphilales*,0.51,0.12,0.04,0.02,0.04,0.03
Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,*Entotheonellaceae*,0.64,0.01,0.02,0.01,0,0.02
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*TRA3-20*,0.58,0.06,0.02,0.01,0,0.02
Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,*Methanoperedenaceae*,0.52,0.03,0.03,0.01,0.04,0.05
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*env.OPS_17*,0.57,0.03,0.02,0.01,0.01,0.01
Bacteria,Myxococcota,bacteriap25,bacteriap25,*bacteriap25*,0.57,0.02,0.02,0.01,0.02,0.01
Bacteria,Patescibacteria,Parcubacteria,Order of Parcubacteria,*Family* (*of*) Parcubacteria,0.47,0.14,0.02,0.01,0,0.01
Bacteria,Patescibacteria,Parcubacteria,Parcubacteria,*Parcubacteria*,0.45,0.09,0.02,0.02,0.03,0.01
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,*Candidatus_Nomurabacteria*,0.52,0.06,0,0,0.01,0.02
Bacteria,Planctomycetota,Phycisphaerae,S-70,*S-70*,0.55,0.01,0.01,0.01,0.01,0.01
Bacteria,Elusimicrobiota,Lineage_IIb,Lineage_IIb,*Lineage_IIb*,0.56,0.02,0,0,0,0.01
Archaea,Euryarchaeota,Thermococci,Methanofastidiosales,*Family* (*of*) Methanofastidiosales,0.42,0.03,0.05,0.01,0.04,0.02
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*A0839*,0.38,0.07,0.03,0.02,0.02,0.04
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,*Rhodobacteraceae*,0.36,0.08,0.02,0.02,0.03,0.01
Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,*Propionibacteriaceae*,0.12,0.09,0.05,0.06,0.13,0.06
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,*Family* (*of*) Rhodospirillales,0.42,0.03,0.02,0,0.01,0.01
Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66,*JG30-KF-CM66*,0.39,0.05,0.03,0,0.03,0
Bacteria,Planctomycetota,BD7-11,BD7-11,*BD7-11*,0.39,0.03,0.03,0.01,0.01,0.02
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,*Chitinophagaceae*,0.33,0.08,0.01,0.02,0.02,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Hyphomicrobiaceae*,0.34,0.1,0.02,0.01,0,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*Rickettsiaceae*,0.45,0.02,0,0,0.01,0
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*SCGC_AAA011-D5*,0.24,0.09,0.02,0.01,0.09,0.02
Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,*Vampirovibrionales*,0.33,0.08,0.04,0,0.01,0.01
Bacteria,Dependentiae,Babeliae,Babeliales,*Babeliales*,0.43,0,0.02,0,0.01,0
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,*Micavibrionaceae*,0.35,0.05,0.02,0,0.01,0.02
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,*Family* (*of*) Planctomycetales,0.35,0.04,0.01,0.01,0.01,0.02
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Azambacteria,*Candidatus_Azambacteria*,0.39,0.01,0,0,0,0.01
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,*Schlesneriaceae*,0.26,0.06,0.03,0.01,0.03,0.02
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,*Candidatus_Peregrinibacteria*,0.31,0.04,0.02,0,0.02,0.01
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),*Absconditabacteriales_(SR1)*,0.29,0.02,0.03,0.01,0.04,0.01
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,*Pedosphaeraceae*,0.34,0.03,0.01,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,Order of Dehalococcoidia,*Family* (*of*) Dehalococcoidia,0.25,0.1,0.01,0.01,0.01,0.01
Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,*Bacteriovoracaceae*,0.35,0.01,0.01,0,0,0.01
Bacteria,Planctomycetota,Planctomycetes,Gemmatales,*Gemmataceae*,0.28,0.05,0.01,0.01,0.02,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Order of Gammaproteobacteria,*Family* (*of*) Gammaproteobacteria,0.31,0.04,0,0,0.01,0
Bacteria,Elusimicrobiota,Elusimicrobia,Lineage_IV,*Lineage_IV*,0.28,0.06,0.01,0,0,0.01
Archaea,Hadarchaeota,Hadarchaeia,Hadarchaeia,*Hadarchaeales*,0.2,0.07,0.04,0.01,0.02,0.02
Archaea,Aenigmarchaeota,Aenigmarchaeia,Aenigmarchaeales,*Aenigmarchaeales*,0.14,0.12,0.03,0,0.04,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,*Hyphomonadaceae*,0.23,0.05,0.02,0.01,0,0.02
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*KD3-93*,0.3,0.01,0.01,0,0.01,0
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peribacteria,*Candidatus_Peribacteria*,0.29,0.01,0.01,0,0.01,0
Archaea,Crenarchaeota,Bathyarchaeia,Bathyarchaeia,*Bathyarchaeia*,0.11,0.11,0.02,0,0.04,0.04
Bacteria,Proteobacteria,Alphaproteobacteria,Order of Alphaproteobacteria,*Family* (*of*) Alphaproteobacteria,0.26,0.05,0,0,0,0
Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,BD2-11_terrestrial_group,*BD2-11_terrestrial_group*,0.21,0.04,0.02,0.01,0.02,0.02
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Xanthobacteraceae*,0.22,0.05,0.01,0,0.02,0.01
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,*Obscuribacteraceae*,0.2,0.07,0,0,0,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,*Diplorickettsiaceae*,0.25,0.02,0.01,0,0.01,0.01
Bacteria,BHI80-139,BHI80-139,BHI80-139,*BHI80-139*,0.2,0.04,0.02,0.01,0.01,0.02
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*Family* (*of*) Sphingobacteriales,0.27,0.02,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,S085,*S085*,0.2,0.06,0,0,0.02,0
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,*Simkaniaceae*,0.23,0.02,0.01,0,0,0.01
Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,*Subgroup_17*,0.25,0,0.01,0,0,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,*Parvularculaceae*,0.17,0.05,0.02,0.01,0,0.01
Bacteria,Sva0485,Sva0485,Sva0485,*Sva0485*,0.2,0.03,0.02,0,0.01,0
Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,*Unknown_Family*,0.24,0,0,0,0,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,*Paracaedibacteraceae*,0.23,0.01,0,0,0,0
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,*koll11*,0.22,0.02,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,CCM11a,*CCM11a*,0.24,0,0,0,0,0
Bacteria,RCP2-54,RCP2-54,RCP2-54,*RCP2-54*,0.18,0.02,0.01,0,0,0.01
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*GW2011_GWC1_47_15*,0.1,0.07,0,0,0.04,0.02
Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),*SAR324_clade(Marine_group_B)*,0.2,0.01,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,*Holosporaceae*,0.14,0.04,0.02,0,0,0.01
Bacteria,Proteobacteria,Class of Proteobacteria,Order of Proteobacteria,*Family* (*of*) Proteobacteria,0.2,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,*Candidatus_Adlerbacteria*,0.09,0.08,0.01,0.01,0.01,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Labraceae*,0.16,0.03,0,0,0.01,0
