Kingdom,Phylum,Class,Order,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Proteobacteria,Gammaproteobacteria,*Burkholderiales*,1387000,122286000,18615000,674305000,152173000,273604000
Bacteria,Proteobacteria,Gammaproteobacteria,*Pseudomonadales*,60000,3860000,162178000,118112000,101532000,575000
Bacteria,Proteobacteria,Gammaproteobacteria,*Alteromonadales*,156000,1314000,238321000,68735000,2144000,1318000
Bacteria,Acidobacteriota,Vicinamibacteria,*Vicinamibacterales*,2352000,1561000,3123000,2772000,1702000,1538000
Bacteria,Verrucomicrobiota,Omnitrophia,*Omnitrophales*,4014000,1846000,2380000,1373000,978000,1316000
Bacteria,Bacteroidota,Bacteroidia,*Flavobacteriales*,112000,173000,6426000,669000,556000,248000
Archaea,Nanoarchaeota,Nanoarchaeia,*Woesearchaeales*,602000,963000,1660000,904000,1391000,1793000
Bacteria,Proteobacteria,Alphaproteobacteria,*Sphingomonadales*,45000,757000,827000,1492000,2616000,509000
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Zambryskibacteria*,1120000,664000,1038000,899000,428000,141000
Bacteria,Proteobacteria,Alphaproteobacteria,*Caulobacterales*,98000,200000,2526000,351000,380000,125000
Bacteria,Proteobacteria,Alphaproteobacteria,*Rickettsiales*,676000,602000,746000,519000,435000,352000
Bacteria,Nitrospirota,Nitrospiria,*Nitrospirales*,699000,334000,737000,393000,340000,270000
Bacteria,Actinobacteriota,Actinobacteria,*Micrococcales*,66000,211000,303000,941000,766000,359000
Bacteria,Cyanobacteria,Cyanobacteriia,*Cyanobacteriales*,904000,572000,723000,145000,146000,119000
Bacteria,Bdellovibrionota,Bdellovibrionia,*Bdellovibrionales*,873000,147000,546000,206000,153000,134000
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhizobiales*,306000,426000,256000,284000,184000,203000
Bacteria,Planctomycetota,Planctomycetes,*Pirellulales*,256000,197000,392000,245000,284000,211000
Bacteria,Proteobacteria,Alphaproteobacteria,*Micavibrionales*,307000,251000,341000,230000,228000,184000
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhodospirillales*,278000,313000,333000,173000,153000,252000
Bacteria,Actinobacteriota,Actinobacteria,*Propionibacteriales*,24000,122000,215000,504000,364000,158000
Bacteria,Bacteroidota,Bacteroidia,*Sphingobacteriales*,515000,128000,328000,208000,119000,80000
Bacteria,Elusimicrobiota,Lineage_IIc,*Lineage_IIc*,431000,153000,387000,290000,0,58000
Bacteria,Elusimicrobiota,Lineage_IIa,*Lineage_IIa*,291000,90000,352000,176000,135000,81000
Bacteria,Planctomycetota,Planctomycetes,*Planctomycetales*,153000,158000,207000,126000,140000,113000
Bacteria,Bdellovibrionota,Oligoflexia,*0319-6G20*,337000,135000,215000,64000,32000,93000
Bacteria,Cyanobacteria,Vampirivibrionia,*Caenarcaniphilales*,109000,167000,180000,175000,106000,93000
Bacteria,Patescibacteria,Parcubacteria,*Parcubacteria*,99000,129000,111000,179000,94000,37000
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Kaiserbacteria*,155000,127000,63000,230000,26000,43000
Archaea,Halobacterota,Methanosarcinia,*Methanosarciniales*,108000,45000,167000,52000,118000,146000
Archaea,Euryarchaeota,Thermococci,*Methanofastidiosales*,88000,36000,214000,65000,106000,55000
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhodobacterales*,76000,117000,111000,136000,85000,39000
