Kingdom,Phylum,Class,Order,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Proteobacteria,Gammaproteobacteria,*Burkholderiales*,6.71,86.58,4.16,76.85,56.48,95.62
Bacteria,Proteobacteria,Gammaproteobacteria,*Pseudomonadales*,0.29,2.73,36.24,13.47,37.66,0.2
Bacteria,Proteobacteria,Gammaproteobacteria,*Alteromonadales*,0.76,0.93,53.26,7.83,0.79,0.46
Bacteria,Verrucomicrobiota,Omnitrophia,*Omnitrophales*,19.41,1.29,0.53,0.16,0.36,0.46
Bacteria,Acidobacteriota,Vicinamibacteria,*Vicinamibacterales*,11.37,1.1,0.7,0.32,0.63,0.54
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Zambryskibacteria*,5.43,0.47,0.23,0.1,0.16,0.05
Archaea,Nanoarchaeota,Nanoarchaeia,*Woesearchaeales*,2.88,0.68,0.37,0.1,0.51,0.62
Bacteria,Cyanobacteria,Cyanobacteriia,*Cyanobacteriales*,4.37,0.4,0.16,0.02,0.05,0.04
Bacteria,Bdellovibrionota,Bdellovibrionia,*Bdellovibrionales*,4.11,0.1,0.12,0.02,0.05,0.05
Bacteria,Proteobacteria,Alphaproteobacteria,*Rickettsiales*,3.2,0.42,0.17,0.06,0.16,0.12
Bacteria,Nitrospirota,Nitrospiria,*Nitrospirales*,3.4,0.23,0.16,0.04,0.12,0.09
Bacteria,Bacteroidota,Bacteroidia,*Sphingobacteriales*,2.38,0.09,0.07,0.02,0.04,0.03
Bacteria,Bacteroidota,Bacteroidia,*Flavobacteriales*,0.5,0.12,1.44,0.08,0.21,0.09
Bacteria,Elusimicrobiota,Lineage_IIc,*Lineage_IIc*,2.09,0.11,0.09,0.03,0,0.02
Bacteria,Proteobacteria,Alphaproteobacteria,*Sphingomonadales*,0.21,0.53,0.18,0.17,0.97,0.18
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhizobiales*,1.4,0.3,0.06,0.03,0.07,0.07
Bacteria,Proteobacteria,Alphaproteobacteria,*Micavibrionales*,1.48,0.17,0.08,0.03,0.08,0.06
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhodospirillales*,1.32,0.22,0.07,0.02,0.05,0.09
Bacteria,Bdellovibrionota,Oligoflexia,*0319-6G20*,1.57,0.09,0.05,0.01,0.01,0.03
Bacteria,Planctomycetota,Planctomycetes,*Pirellulales*,1.2,0.14,0.09,0.03,0.1,0.07
Bacteria,Elusimicrobiota,Lineage_IIa,*Lineage_IIa*,1.33,0.06,0.08,0.02,0.05,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,*Caulobacterales*,0.46,0.14,0.56,0.04,0.14,0.04
Bacteria,Planctomycetota,OM190,*OM190*,1.3,0.01,0.04,0,0,0.01
Bacteria,Actinobacteriota,Actinobacteria,*Micrococcales*,0.32,0.15,0.07,0.11,0.28,0.12
Bacteria,Planctomycetota,Planctomycetes,*Planctomycetales*,0.68,0.11,0.05,0.01,0.05,0.04
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Kaiserbacteria*,0.72,0.09,0.01,0.03,0.01,0.02
Bacteria,Cyanobacteria,Vampirivibrionia,*Caenarcaniphilales*,0.51,0.12,0.04,0.02,0.04,0.03
Bacteria,Entotheonellaeota,Entotheonellia,*Entotheonellales*,0.64,0.01,0.02,0.01,0,0.02
