Kingdom,Phylum,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,*Proteobacteria*,4003000,130511000,424812000,864671000,260087000,277390000
Bacteria,*Acidobacteriota*,2539000,1582000,3243000,2786000,1719000,1556000
Bacteria,*Verrucomicrobiota*,4269000,1978000,2485000,1458000,992000,1365000
Bacteria,*Bacteroidota*,781000,497000,6796000,1067000,801000,447000
Bacteria,*Patescibacteria*,2000000,1610000,1701000,1682000,793000,479000
Archaea,*Nanoarchaeota*,602000,963000,1660000,904000,1391000,1793000
Bacteria,*Actinobacteriota*,138000,389000,609000,1642000,1209000,571000
Bacteria,*Planctomycetota*,1116000,569000,983000,566000,551000,450000
Bacteria,*Cyanobacteria*,1131000,956000,1082000,396000,285000,336000
Bacteria,*Bdellovibrionota*,1318000,300000,818000,298000,185000,250000
Bacteria,*Nitrospirota*,712000,351000,737000,455000,340000,285000
Bacteria,*Elusimicrobiota*,926000,359000,775000,466000,135000,205000
Bacteria,*Chloroflexi*,334000,466000,306000,241000,208000,205000
Archaea,*Halobacterota*,110000,45000,167000,52000,118000,146000
Archaea,*Euryarchaeota*,88000,36000,214000,65000,106000,55000
Bacteria,*Myxococcota*,217000,37000,120000,73000,54000,48000
Archaea,*Aenigmarchaeota*,32000,179000,140000,0,106000,77000
Archaea,*Crenarchaeota*,33000,158000,72000,40000,111000,114000
Archaea,*Hadarchaeota*,43000,95000,186000,65000,67000,69000
Bacteria,*BHI80-139*,38000,53000,102000,108000,37000,58000
Bacteria,*Gemmatimonadota*,54000,59000,90000,94000,42000,44000
Archaea,*Iainarchaeota*,10000,82000,35000,0,88000,165000
Bacteria,*Entotheonellaeota*,136000,14000,82000,58000,0,65000
Bacteria,*Firmicutes*,11000,26000,62000,109000,38000,23000
Bacteria,*Dependentiae*,107000,0,87000,44000,28000,0
Bacteria,*Sva0485*,42000,42000,69000,0,34000,11000
Bacteria,*RCP2-54*,41000,23000,56000,37000,12000,22000
Bacteria,*Dadabacteria*,12000,23000,29000,35000,18000,0
Bacteria,*SAR324_clade(Marine_group_B)*,50000,15000,8000,0,5000,12000
Bacteria,*Zixibacteria*,11000,21000,14000,30000,5000,0
Archaea,*Thermoplasmatota*,6000,6000,34000,0,22000,0
Archaea,*Micrarchaeota*,2000,0,0,36000,20000,0
Bacteria,*Desulfobacterota*,50000,0,0,0,0,0
Bacteria,*Latescibacterota*,19000,12000,0,0,0,0
Bacteria,*WPS-2*,11000,0,7000,0,5000,0
Bacteria,*FCPU426*,11000,9000,0,0,0,0
Archaea,*Altiarchaeota*,1000,17000,0,0,0,0
Bacteria,*Marinimicrobia_(SAR406_clade)*,3000,3000,0,0,0,11000
Bacteria,*Armatimonadota*,8000,0,0,8000,0,0
Bacteria,*Spirochaetota*,4000,0,0,0,8000,0
Bacteria,*Caldatribacteriota*,2000,9000,0,0,0,0
Bacteria,*MBNT15*,7000,0,0,0,0,0
Bacteria,*Sumerlaeota*,6000,0,0,0,0,0
Bacteria,*Margulisbacteria*,4000,0,0,0,0,0
Bacteria,*Methylomirabilota*,4000,0,0,0,0,0
Bacteria,*NB1-j*,4000,0,0,0,0,0
Bacteria,*Hydrogenedentes*,3000,0,0,0,0,0
Bacteria,*Campilobacterota*,1000,0,0,0,0,0
Bacteria,*Nitrospinota*,1000,0,0,0,0,0
Bacteria,*TA06*,1000,0,0,0,0,0
Bacteria,*WOR-1*,1000,0,0,0,0,0
Bacteria,*NKB15*,0,0,0,0,0,0
