Kingdom,Phylum,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,*Proteobacteria*,18.95,92.36,94.92,98.54,96.5,96.93
Bacteria,*Verrucomicrobiota*,20.55,1.38,0.56,0.17,0.36,0.48
Bacteria,*Acidobacteriota*,12.23,1.11,0.72,0.32,0.64,0.54
Bacteria,*Patescibacteria*,9.54,1.11,0.38,0.19,0.29,0.17
Bacteria,*Bdellovibrionota*,6.18,0.2,0.18,0.03,0.07,0.09
Bacteria,*Cyanobacteria*,5.43,0.67,0.24,0.04,0.1,0.11
Bacteria,*Planctomycetota*,5.15,0.39,0.22,0.06,0.2,0.15
Bacteria,*Bacteroidota*,3.56,0.34,1.52,0.12,0.29,0.16
Archaea,*Nanoarchaeota*,2.88,0.68,0.37,0.1,0.51,0.62
Bacteria,*Elusimicrobiota*,4.39,0.25,0.17,0.05,0.05,0.07
Bacteria,*Nitrospirota*,3.46,0.25,0.16,0.05,0.12,0.1
Bacteria,*Chloroflexi*,1.53,0.32,0.07,0.03,0.08,0.07
Bacteria,*Actinobacteriota*,0.68,0.27,0.14,0.19,0.45,0.2
Bacteria,*Myxococcota*,0.97,0.03,0.03,0.01,0.02,0.02
Archaea,*Halobacterota*,0.53,0.03,0.04,0.01,0.04,0.05
Bacteria,*Entotheonellaeota*,0.64,0.01,0.02,0.01,0,0.02
Archaea,*Euryarchaeota*,0.42,0.03,0.05,0.01,0.04,0.02
Bacteria,*Dependentiae*,0.52,0,0.02,0,0.01,0
Archaea,*Aenigmarchaeota*,0.14,0.13,0.03,0,0.04,0.03
Archaea,*Hadarchaeota*,0.2,0.07,0.04,0.01,0.02,0.02
Archaea,*Crenarchaeota*,0.15,0.11,0.02,0,0.04,0.04
Bacteria,*Gemmatimonadota*,0.25,0.04,0.02,0.01,0.02,0.02
Bacteria,*BHI80-139*,0.2,0.04,0.02,0.01,0.01,0.02
Bacteria,*Sva0485*,0.2,0.03,0.02,0,0.01,0
Bacteria,*Desulfobacterota*,0.23,0,0,0,0,0
Bacteria,*RCP2-54*,0.18,0.02,0.01,0,0,0.01
Bacteria,*SAR324_clade(Marine_group_B)*,0.2,0.01,0,0,0,0
Archaea,*Iainarchaeota*,0.04,0.06,0.01,0,0.03,0.06
Bacteria,*Firmicutes*,0.05,0.02,0.01,0.01,0.01,0.01
Bacteria,*Dadabacteria*,0.06,0.02,0.01,0,0.01,0
Bacteria,*Latescibacterota*,0.08,0.01,0,0,0,0
Bacteria,*Zixibacteria*,0.05,0.01,0,0,0,0
Archaea,*Thermoplasmatota*,0.03,0,0.01,0,0.01,0
Bacteria,*FCPU426*,0.04,0.01,0,0,0,0
Bacteria,*WPS-2*,0.04,0,0,0,0,0
Bacteria,*Armatimonadota*,0.04,0,0,0,0,0
Bacteria,*MBNT15*,0.03,0,0,0,0,0
Bacteria,*Sumerlaeota*,0.03,0,0,0,0,0
Bacteria,*Spirochaetota*,0.02,0,0,0,0,0
Bacteria,*Margulisbacteria*,0.02,0,0,0,0,0
Bacteria,*Hydrogenedentes*,0.02,0,0,0,0,0
Bacteria,*Methylomirabilota*,0.02,0,0,0,0,0
Archaea,*Micrarchaeota*,0.01,0,0,0,0.01,0
Bacteria,*Marinimicrobia_(SAR406_clade)*,0.01,0,0,0,0,0
Bacteria,*Caldatribacteriota*,0.01,0.01,0,0,0,0
Archaea,*Altiarchaeota*,0,0.01,0,0,0,0
Bacteria,*NB1-j*,0.01,0,0,0,0,0
Bacteria,*WOR-1*,0.01,0,0,0,0,0
Bacteria,*Campilobacterota*,0,0,0,0,0,0
Bacteria,*TA06*,0,0,0,0,0,0
Bacteria,*NKB15*,0,0,0,0,0,0
Bacteria,*Nitrospinota*,0,0,0,0,0,0
