Kingdom,Phylum,Class,Order,Family,Tax_label,ABOR.S006,ABOR.S015,ABOR.S017,ABOR.S019,ABOR.S021,ABOR.S023,ABOR.S034,ABOR.S039,ABOR.S041,ABOR.S043,ABOR.S045,ABOR.S047
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Aquabacterium*,1.71,83.05,1.85,5.14,11.64,14.69,0.3,31.83,8.75,60.18,17.58,15.73
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,*Rheinheimera*,0.79,0.94,54.2,7.84,0.79,0.46,0.18,2.51,63.01,16.41,30.49,13.14
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of *Comamonadaceae*,0.95,0.93,0.43,70.49,1.13,80.25,0.65,1.01,0.63,0.58,1.06,0.81
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Inhella*,0.24,1.7,0.52,0.69,0.58,0.23,0.14,39.4,7.72,11.15,25.41,36.18
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,*Pseudomonas*,0.25,2.68,35.54,7.79,37.71,0.17,0.05,0.43,0.45,0.4,0.3,0.48
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,*Methylotenera*,0.25,0.24,0.72,0.33,42.74,0.17,0.04,0.6,0.34,0.43,0.94,0.36
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,*Vicinamibacteraceae*,8.78,0.97,0.56,0.25,0.48,0.43,11.51,1.94,0.61,1.02,1.49,3.34
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,*Candidatus_Omnitrophus*,7.84,0.91,0.27,0.08,0.21,0.27,7,1.92,0.34,1.22,1.27,3.24
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophales,*Omnitrophales*,10.26,0.38,0.3,0.07,0.13,0.17,7.95,0.56,0.22,0.44,0.46,0.86
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Zambryskibacteria,Candidatus_Zambryskibacteria,*Candidatus_Zambryskibacteria*,5.59,0.47,0.24,0.1,0.16,0.05,6.71,1.39,0.44,0.63,1.64,1.66
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Novosphingobium*,0.06,0.1,0.04,0.04,0.29,0.06,0.02,0.28,12.01,0.07,0.52,0.09
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Family of Vicinamibacterales,Genus of *Vicinamibacterales*,2.99,0.12,0.15,0.07,0.14,0.1,5.17,0.97,0.22,0.55,0.58,1.33
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,Woesearchaeales,*Woesearchaeales*,2.16,0.55,0.33,0.09,0.38,0.54,2,1.41,0.35,0.55,1.22,2.38
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingopyxis*,0.05,0.33,0.13,0.1,0.46,0.08,0.01,2,0.99,0.12,4.42,1.21
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,*Rickettsiales* (*SM2D12*),2.68,0.39,0.16,0.06,0.14,0.12,2.69,0.67,0.17,0.34,0.41,1.13
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,*Bdellovibrio*,3.98,0.1,0.12,0.02,0.05,0.05,3.94,0.15,0.03,0.11,0.12,0.25
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,*Nitrospira*,2.75,0.24,0.17,0.04,0.12,0.09,2.83,0.26,0.11,0.17,0.23,0.51
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,*Perlucidibaca*,0.05,0.04,1.33,5.7,0.04,0.03,0.01,0.07,0.06,0.04,0.05,0.04
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,*Microcystaceae* (*Synechocystis_PCC-6803*),4.64,0.41,0.17,0.02,0.05,0.04,0.01,0.04,0.03,0.03,0.02,0.05
Bacteria,Elusimicrobiota,Lineage_IIc,Lineage_IIc,Lineage_IIc,*Lineage_IIc*,2.08,0.11,0.06,0.03,0,0.01,1.59,0.04,0.03,0.05,0.08,0.08
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,*Oligoflexia* (*0319-6G20*),1.39,0.09,0.04,0.01,0.04,0.04,1.48,0.13,0.01,0.09,0.12,0.25
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Family of Micavibrionales,Genus of *Micavibrionales*,1.25,0.12,0.07,0.01,0.06,0.05,1.29,0.27,0.06,0.15,0.08,0.22
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Genus of *Rhodospirillaceae*,1.02,0.19,0.04,0.02,0.04,0.09,1.07,0.28,0.09,0.11,0.18,0.36
Bacteria,Cyanobacteria,Vampirivibrionia,Caenarcaniphilales,Caenarcaniphilales,*Caenarcaniphilales*,0.56,0.14,0.04,0.02,0.05,0.04,1.05,0.45,0.09,0.16,0.33,0.37
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,*Candidatus_Kaiserbacteria*,0.71,0.05,0.01,0.03,0.01,0.02,1.27,0.13,0.05,0.13,0.42,0.44
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,*Hyphomonadaceae* (*SWB02*),0.29,0.05,0.02,0.01,0.02,0.02,0.75,0.85,0.13,0.1,0.7,0.23
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,*Pirellulaceae* (*Pir4_lineage*),0.75,0.05,0.09,0.02,0.06,0.03,0.79,0.51,0.03,0.2,0.1,0.34
Bacteria,Patescibacteria,Parcubacteria,Order of Parcubacteria,Family of Parcubacteria,Genus of *Parcubacteria*,0.61,0.15,0.03,0.02,0.06,0.04,0.74,0.28,0.04,0.14,0.33,0.39
Bacteria,Elusimicrobiota,Lineage_IIa,Lineage_IIa,Lineage_IIa,*Lineage_IIa*,1.05,0.06,0.04,0.02,0.02,0.03,1.11,0.11,0.01,0.06,0.09,0.14
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,*Nitrosomonas*,0.73,0.07,0.02,0.01,0.02,0.02,1.47,0.1,0.05,0.03,0.06,0.07
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Genus of *Sphingobacteriaceae*,0.8,0.01,0.03,0.01,0.02,0.01,1.1,0.1,0.03,0.04,0.08,0.04
Bacteria,Planctomycetota,OM190,OM190,OM190,*Planctomycetota* (*OM190*),1.04,0,0.01,0,0,0.01,0.97,0.03,0,0.05,0.03,0.08
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,*Candidatus_Nomurabacteria*,0.51,0.06,0,0,0.01,0.02,1.06,0.12,0.04,0.03,0.17,0.16
