Kingdom,Phylum,Class,Order,Family,Tax_label,ELLY27.29,ELLY31.33,ELLY36.38,ELLY40.42,ELLY52.54,ELLY56.58,ELLY61.63,ELLY65.67
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,*Flavobacterium*,1142550,210070,719990,730960,66060,7320,508890,2532840
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of *Comamonadaceae*,206790,91500,722040,973270,69590,9470,283450,277150
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,*Rheinheimera*,28450,4780,34560,198920,57690,1770,68350,756530
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingopyxis*,14540,12400,41350,415240,24200,3360,93600,427080
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,*Limnobacter*,24290,14250,219040,32360,4860,2780,2710,638050
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,*Pseudomonas*,13030,7120,5730,181280,24140,2180,9950,596340
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Genus of *Neisseriaceae*,418920,183350,13660,9490,18830,3060,2870,10690
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,*Emticicia*,8240,7430,71570,126550,2760,260,2570,402480
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Genus of *Anaerolineaceae*,148670,63680,182360,5340,139460,23860,23790,6900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Candidatus_Accumulibacter*,207630,101090,66410,11590,135650,20870,19340,20850
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,*Prosthecobacter*,91140,73310,184190,54740,34120,4660,35430,45300
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,*Herminiimonas*,2810,1080,2020,78640,1810,250,3480,429270
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,*Saccharimonadales*,324280,44000,44500,7190,8220,730,1170,8400
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,*Methylotenera*,5960,2420,5900,31880,1850,240,5020,381340
Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,*Unknown_Family*,253930,150510,6300,6640,2670,560,0,900
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,*Sphingobacteriales* (*NS11-12_marine_group*),32970,19900,62880,63280,10740,1260,174890,35900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Hydrogenophaga*,21180,9440,6630,81260,7690,1030,13820,259880
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Dechloromonas*,129360,53190,44230,5550,88560,18120,7310,3900
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Zoogloea*,92720,57210,44700,10350,49980,9310,12710,40360
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Genus of *Oxalobacteraceae*,3180,2290,12900,6230,700,100,1200,272020
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,*Nitrospira*,40600,86240,61740,18190,58170,13460,9880,5400
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Sediminibacterium*,45820,25420,21550,43350,11740,1520,18210,101380
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,*Romboutsia*,55810,71310,28240,38520,13680,10640,6910,10220
