Kingdom,Phylum,Class,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Proteobacteria,*Gammaproteobacteria*,2286080,1124880,1785150,2334160
Bacteria,Bacteroidota,*Bacteroidia*,1672660,508220,1118600,921320
Bacteria,Proteobacteria,*Alphaproteobacteria*,412320,301940,440950,968930
Bacteria,Verrucomicrobiota,*Verrucomicrobiae*,267330,212280,488640,90050
Bacteria,Chloroflexi,*Anaerolineae*,189110,89390,229190,7240
Bacteria,Patescibacteria,*Saccharimonadia*,386690,52950,50660,7770
Bacteria,Firmicutes,*Clostridia*,130430,147900,52810,70370
Bacteria,Planctomycetota,*Planctomycetes*,57950,93280,92610,48070
Bacteria,Nitrospirota,*Nitrospiria*,47410,98200,68450,19680
Bacteria,Patescibacteria,*Parcubacteria*,170240,25600,20770,2250
Bacteria,Cyanobacteria,*Vampirivibrionia*,75430,72710,36170,28530
Bacteria,Myxococcota,*Polyangia*,54780,32960,36250,7820
Bacteria,Planctomycetota,*OM190*,31520,28930,56260,7990
Bacteria,Actinobacteriota,*Actinobacteria*,36670,27850,24870,9190
Bacteria,Dependentiae,*Babeliae*,39890,28950,19800,5800
Bacteria,Bdellovibrionota,*Bdellovibrionia*,44280,16110,7930,1810
Bacteria,Spirochaetota,*Leptospirae*,50610,4320,4680,0
Bacteria,Proteobacteria,*Class* (*of*) Proteobacteria,24550,17590,12160,4710
Bacteria,Bdellovibrionota,*Oligoflexia*,22550,11500,19800,540
Bacteria,Firmicutes,*Bacilli*,28710,15430,3450,2760
Bacteria,Verrucomicrobiota,*Chlamydiae*,20100,14840,7500,6220
Bacteria,Actinobacteriota,*Acidimicrobiia*,12500,6840,10000,2510
Bacteria,Bacteroidota,*Kapabacteria*,16320,4810,9800,700
Bacteria,Acidobacteriota,*Vicinamibacteria*,0,8180,9010,2780
Bacteria,Campilobacterota,*Campylobacteria*,15540,3030,460,520
Bacteria,WPS-2,*WPS-2*,5310,3310,3020,1780
Bacteria,Gemmatimonadota,*Gemmatimonadetes*,5180,3360,3490,690
Bacteria,Verrucomicrobiota,*Omnitrophia*,5320,7090,0,0
Bacteria,Actinobacteriota,*Thermoleophilia*,5300,3960,2930,0
Bacteria,Planctomycetota,*Phycisphaerae*,1820,6630,3500,0
Bacteria,Fibrobacterota,*Fibrobacteria*,10860,610,0,0
Bacteria,SAR324_clade(Marine_group_B),*SAR324_clade(Marine_group_B)*,4470,2720,2450,0
Bacteria,Patescibacteria,*Gracilibacteria*,7920,1070,440,0
Bacteria,Hydrogenedentes,*Hydrogenedentia*,3210,2890,2680,540
Bacteria,Bacteroidota,*SJA-28*,4200,2160,1970,550
Bacteria,Firmicutes,*Negativicutes*,6360,1830,140,310
Bacteria,Myxococcota,*Myxococcia*,2990,1740,2190,150
Bacteria,Chloroflexi,*Chloroflexia*,1820,2670,890,1390
Bacteria,Acidobacteriota,*Thermoanaerobaculia*,0,4680,0,850
Bacteria,Cyanobacteria,*Cyanobacteriia*,2990,2000,380,140
Bacteria,Desulfobacterota,*Desulfuromonadia*,2940,910,1400,0
Bacteria,Fusobacteriota,*Fusobacteriia*,4340,720,0,0
Bacteria,Acidobacteriota,*Acidobacteriae*,840,1740,2100,0
Bacteria,Acidobacteriota,*Holophagae*,2930,970,530,0
Bacteria,Acidobacteriota,*Blastocatellia*,0,2540,1770,0
Bacteria,Patescibacteria,*Microgenomatia*,2730,540,170,140
Archaea,Halobacterota,*Methanosarcinia*,1400,1810,0,0
Bacteria,Cyanobacteria,*Sericytochromatia*,1640,910,340,0
Bacteria,Elusimicrobiota,*Lineage_IIb*,1680,740,0,0
Archaea,Euryarchaeota,*Methanobacteria*,1680,490,0,0
Bacteria,Desulfobacterota,*Desulfobulbia*,700,780,670,0
Bacteria,Verrucomicrobiota,*Kiritimatiellae*,1120,360,460,0
Bacteria,LCP-89,*LCP-89*,1820,0,0,0
Bacteria,Verrucomicrobiota,*Lentisphaeria*,980,790,0,0
Bacteria,Elusimicrobiota,*Elusimicrobia*,1680,0,0,0
Bacteria,Desulfobacterota,*Desulfovibrionia*,1120,490,0,0
Bacteria,RCP2-54,*RCP2-54*,700,840,0,0
Bacteria,Sumerlaeota,*Sumerlaeia*,0,1400,0,0
Bacteria,Armatimonadota,*Armatimonadia*,700,0,330,280
Bacteria,Desulfobacterota,*Class* (*of*) Desulfobacterota,0,910,0,280
Bacteria,Planctomycetota,*BD7-11*,280,740,0,0
Bacteria,Desulfobacterota,*Syntrophia*,840,0,0,0
Bacteria,Chloroflexi,*OLB14*,0,730,0,0
Bacteria,Patescibacteria,*Berkelbacteria*,700,0,0,0
Bacteria,Chloroflexi,*KD4-96*,0,0,580,0
Bacteria,NB1-j,*NB1-j*,0,250,330,0
Bacteria,Armatimonadota,*Class* (*of*) Armatimonadota,0,130,430,0
Bacteria,Patescibacteria,*CPR2*,560,0,0,0
Bacteria,Spirochaetota,*MVP-15*,560,0,0,0
Bacteria,Dadabacteria,*Dadabacteriia*,0,490,0,0
Bacteria,Actinobacteriota,*Coriobacteriia*,340,80,0,0
Bacteria,Spirochaetota,*Spirochaetia*,420,0,0,0
Bacteria,Desulfobacterota,*Desulfobacteria*,0,370,0,0
Bacteria,Firmicutes,*Desulfitobacteriia*,220,100,0,50
Bacteria,Myxococcota,*bacteriap25*,0,370,0,0
Bacteria,Planctomycetota,*028H05-P-BN-P5*,0,370,0,0
Bacteria,Firmicutes,*Desulfotomaculia*,70,100,150,0
Bacteria,Modulibacteria,*Moduliflexia*,280,0,0,0
Bacteria,Planctomycetota,*vadinHA49*,280,0,0,0
Bacteria,Fibrobacterota,*Chitinivibrionia*,0,250,0,0
Archaea,Nanoarchaeota,*Nanoarchaeia*,0,180,0,0
Bacteria,Firmicutes,*Symbiobacteriia*,0,180,0,0
Bacteria,Armatimonadota,*Fimbriimonadia*,0,130,0,0
Bacteria,Firmicutes,*Class* (*of*) Firmicutes,0,0,0,80
Bacteria,Firmicutes,*Syntrophomonadia*,0,70,0,0
