Kingdom,Phylum,Class,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Proteobacteria,*Gammaproteobacteria*,36.81,37.16,38.36,51.03
Bacteria,Bacteroidota,*Bacteroidia*,27.07,16.98,24.19,20.26
Bacteria,Proteobacteria,*Alphaproteobacteria*,6.66,10.04,9.56,21.25
Bacteria,Verrucomicrobiota,*Verrucomicrobiae*,4.29,6.98,10.47,1.98
Bacteria,Chloroflexi,*Anaerolineae*,3.02,2.94,4.9,0.16
Bacteria,Firmicutes,*Clostridia*,2.19,4.97,1.15,1.58
Bacteria,Patescibacteria,*Saccharimonadia*,6.16,1.73,1.08,0.17
Bacteria,Planctomycetota,*Planctomycetes*,0.94,3.09,2.01,1.08
Bacteria,Nitrospirota,*Nitrospiria*,0.75,3.21,1.46,0.43
Bacteria,Cyanobacteria,*Vampirivibrionia*,1.2,2.39,0.77,0.62
Bacteria,Patescibacteria,*Parcubacteria*,2.73,0.85,0.46,0.05
Bacteria,Myxococcota,*Polyangia*,0.91,1.1,0.82,0.17
Bacteria,Planctomycetota,*OM190*,0.5,0.95,1.2,0.17
Bacteria,Actinobacteriota,*Actinobacteria*,0.6,0.94,0.55,0.21
Bacteria,Dependentiae,*Babeliae*,0.63,0.95,0.42,0.13
Bacteria,Bdellovibrionota,*Bdellovibrionia*,0.73,0.53,0.17,0.04
Bacteria,Proteobacteria,*Class* (*of*) Proteobacteria,0.39,0.57,0.26,0.1
Bacteria,Bdellovibrionota,*Oligoflexia*,0.37,0.39,0.43,0.01
Bacteria,Firmicutes,*Bacilli*,0.47,0.53,0.08,0.07
Bacteria,Verrucomicrobiota,*Chlamydiae*,0.33,0.49,0.16,0.14
Bacteria,Spirochaetota,*Leptospirae*,0.81,0.15,0.1,0
Bacteria,Actinobacteriota,*Acidimicrobiia*,0.2,0.23,0.21,0.05
Bacteria,Bacteroidota,*Kapabacteria*,0.26,0.16,0.21,0.02
Bacteria,Acidobacteriota,*Vicinamibacteria*,0,0.27,0.19,0.06
Bacteria,Campilobacterota,*Campylobacteria*,0.27,0.11,0.01,0.01
Bacteria,Planctomycetota,*Phycisphaerae*,0.03,0.22,0.08,0
Bacteria,Verrucomicrobiota,*Omnitrophia*,0.08,0.23,0,0
Bacteria,WPS-2,*WPS-2*,0.08,0.11,0.07,0.04
Bacteria,Gemmatimonadota,*Gemmatimonadetes*,0.08,0.11,0.08,0.02
Bacteria,Actinobacteriota,*Thermoleophilia*,0.08,0.13,0.06,0
Bacteria,SAR324_clade(Marine_group_B),*SAR324_clade(Marine_group_B)*,0.08,0.09,0.06,0
Bacteria,Hydrogenedentes,*Hydrogenedentia*,0.05,0.1,0.06,0.01
Bacteria,Firmicutes,*Negativicutes*,0.12,0.08,0,0.01
Bacteria,Fibrobacterota,*Fibrobacteria*,0.18,0.02,0,0
Bacteria,Bacteroidota,*SJA-28*,0.07,0.07,0.04,0.01
Bacteria,Patescibacteria,*Gracilibacteria*,0.13,0.04,0.01,0
Bacteria,Acidobacteriota,*Thermoanaerobaculia*,0,0.16,0,0.02
Bacteria,Myxococcota,*Myxococcia*,0.05,0.06,0.05,0.01
Bacteria,Chloroflexi,*Chloroflexia*,0.03,0.09,0.02,0.03
Bacteria,Cyanobacteria,*Cyanobacteriia*,0.05,0.07,0.01,0.01
Bacteria,Acidobacteriota,*Blastocatellia*,0,0.08,0.04,0
Bacteria,Acidobacteriota,*Acidobacteriae*,0.01,0.06,0.05,0
Bacteria,Desulfobacterota,*Desulfuromonadia*,0.05,0.03,0.03,0
Bacteria,Fusobacteriota,*Fusobacteriia*,0.08,0.03,0,0
Bacteria,Acidobacteriota,*Holophagae*,0.05,0.03,0.01,0
Archaea,Halobacterota,*Methanosarcinia*,0.02,0.06,0,0
Bacteria,Patescibacteria,*Microgenomatia*,0.04,0.02,0,0.01
Bacteria,Cyanobacteria,*Sericytochromatia*,0.03,0.03,0.01,0
Bacteria,Desulfobacterota,*Desulfobulbia*,0.01,0.03,0.01,0
Bacteria,Elusimicrobiota,*Lineage_IIb*,0.03,0.02,0,0
Bacteria,Sumerlaeota,*Sumerlaeia*,0,0.05,0,0
Bacteria,Verrucomicrobiota,*Lentisphaeria*,0.02,0.03,0,0
Archaea,Euryarchaeota,*Methanobacteria*,0.03,0.02,0,0
Bacteria,Desulfobacterota,*Class* (*of*) Desulfobacterota,0,0.04,0,0.01
Bacteria,RCP2-54,*RCP2-54*,0.01,0.03,0,0
Bacteria,Verrucomicrobiota,*Kiritimatiellae*,0.02,0.01,0.01,0
Bacteria,Desulfobacterota,*Desulfovibrionia*,0.02,0.02,0,0
Bacteria,LCP-89,*LCP-89*,0.03,0,0,0
Bacteria,Armatimonadota,*Armatimonadia*,0.01,0,0.01,0.01
Bacteria,Planctomycetota,*BD7-11*,0,0.02,0,0
Bacteria,Elusimicrobiota,*Elusimicrobia*,0.03,0,0,0
Bacteria,Chloroflexi,*OLB14*,0,0.02,0,0
Bacteria,Firmicutes,*Desulfitobacteriia*,0.01,0,0,0.01
Bacteria,NB1-j,*NB1-j*,0,0.01,0.01,0
Bacteria,Dadabacteria,*Dadabacteriia*,0,0.02,0,0
Bacteria,Chloroflexi,*KD4-96*,0,0,0.01,0
Bacteria,Desulfobacterota,*Syntrophia*,0.01,0,0,0
Bacteria,Patescibacteria,*Berkelbacteria*,0.01,0,0,0
Bacteria,Armatimonadota,*Class* (*of*) Armatimonadota,0,0,0.01,0
Bacteria,Firmicutes,*Desulfotomaculia*,0,0,0,0
Bacteria,Actinobacteriota,*Coriobacteriia*,0.01,0,0,0
Bacteria,Firmicutes,*Class* (*of*) Firmicutes,0,0,0,0.01
Bacteria,Desulfobacterota,*Desulfobacteria*,0,0.01,0,0
Bacteria,Myxococcota,*bacteriap25*,0,0.01,0,0
Bacteria,Planctomycetota,*028H05-P-BN-P5*,0,0.01,0,0
Bacteria,Patescibacteria,*CPR2*,0.01,0,0,0
Bacteria,Spirochaetota,*MVP-15*,0.01,0,0,0
Bacteria,Spirochaetota,*Spirochaetia*,0.01,0,0,0
Archaea,Nanoarchaeota,*Nanoarchaeia*,0,0.01,0,0
Bacteria,Fibrobacterota,*Chitinivibrionia*,0,0.01,0,0
Bacteria,Firmicutes,*Symbiobacteriia*,0,0.01,0,0
Bacteria,Modulibacteria,*Moduliflexia*,0,0,0,0
Bacteria,Planctomycetota,*vadinHA49*,0,0,0,0
Bacteria,Armatimonadota,*Fimbriimonadia*,0,0,0,0
Bacteria,Firmicutes,*Syntrophomonadia*,0,0,0,0
