Kingdom,Phylum,Class,Order,Family,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Comamonadaceae*,444530,236510,930670,1266920
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,*Flavobacteriaceae*,1127630,220830,677050,624050
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Rhodocyclaceae*,660150,310330,211510,42990
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,*Sphingomonadaceae*,63760,44380,156210,501210
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Neisseriaceae*,489760,209300,15150,10380
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,*Verrucomicrobiaceae*,139370,120660,264170,71500
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,*Saccharimonadales*,383890,52950,50660,7770
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,*Anaerolineaceae*,173720,72450,202290,5820
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Burkholderiaceae*,58980,31000,271000,89040
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Oxalobacteraceae*,27320,16580,35420,320920
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,*Chitinophagaceae*,121200,79490,97830,97890
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,*Pedosphaeraceae*,105460,71510,201350,16610
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,*Alteromonadaceae*,43670,8960,38280,217290
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,*Pseudomonadaceae*,21040,11120,6340,196400
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,*Nitrospiraceae*,47410,98200,68450,19680
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,*Peptostreptococcaceae*,68210,83670,32090,42590
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Spirosomaceae*,10360,6450,75210,120730
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Nitrosomonadaceae*,72320,57030,61730,14040
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,*Obscuribacteraceae*,67750,66340,35740,28530
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,*Rhodobacteraceae*,25650,20790,36070,103470
Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,*Solimonadaceae*,64720,42520,42690,33710
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*Rickettsiaceae*,56070,33390,38540,50590
Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,*Holosporaceae*,98150,50400,18560,5960
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*NS11-12_marine_group*,35580,21830,61860,40140
