Kingdom,Phylum,Class,Order,Family,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Comamonadaceae*,7.15,7.8,19.91,27.59
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,*Flavobacteriaceae*,18.09,7.35,14.54,13.7
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Rhodocyclaceae*,10.58,10.22,4.55,0.95
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,*Sphingomonadaceae*,1.03,1.47,3.35,10.92
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Neisseriaceae*,7.81,6.86,0.33,0.23
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,*Verrucomicrobiaceae*,2.25,3.99,5.67,1.58
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Burkholderiaceae*,0.94,1.02,5.79,1.95
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,*Anaerolineaceae*,2.77,2.37,4.32,0.13
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,*Saccharimonadales*,6.11,1.73,1.08,0.17
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,*Chitinophagaceae*,1.95,2.63,2.14,2.14
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Oxalobacteraceae*,0.45,0.55,0.77,7
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,*Pedosphaeraceae*,1.68,2.34,4.3,0.36
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,*Alteromonadaceae*,0.71,0.31,0.84,4.75
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,*Nitrospiraceae*,0.75,3.21,1.46,0.43
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,*Peptostreptococcaceae*,1.11,2.77,0.69,0.94
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,*Pseudomonadaceae*,0.36,0.38,0.15,4.31
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Nitrosomonadaceae*,1.15,1.87,1.33,0.31
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Spirosomaceae*,0.18,0.22,1.61,2.65
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,*Obscuribacteraceae*,1.08,2.17,0.77,0.62
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,*Rhodobacteraceae*,0.42,0.7,0.79,2.28
Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,*Solimonadaceae*,1.04,1.41,0.92,0.75
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*Rickettsiaceae*,0.89,1.09,0.83,1.1
Bacteria,Firmicutes,Clostridia,Clostridiales,*Clostridiaceae*,0.83,1.95,0.43,0.6
Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,*Holosporaceae*,1.57,1.66,0.4,0.13
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,*Saprospiraceae*,0.9,1.26,1.2,0.17
