Kingdom,Phylum,Class,Order,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Proteobacteria,Gammaproteobacteria,*Burkholderiales*,1805610,886300,1558630,1805730
Bacteria,Bacteroidota,Bacteroidia,*Flavobacteriales*,1165030,238290,701600,633540
Bacteria,Proteobacteria,Alphaproteobacteria,*Sphingomonadales*,63760,44380,156210,501210
Bacteria,Bacteroidota,Bacteroidia,*Chitinophagales*,235810,144890,182450,107630
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Verrucomicrobiales*,140350,121740,264170,71500
Bacteria,Patescibacteria,Saccharimonadia,*Saccharimonadales*,386690,52950,50660,7770
Bacteria,Chloroflexi,Anaerolineae,*Anaerolineales*,173720,72450,202290,5820
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Pedosphaerales*,105460,71510,201350,16610
Bacteria,Proteobacteria,Gammaproteobacteria,*Pseudomonadales*,121360,33430,16340,210810
Bacteria,Bacteroidota,Bacteroidia,*Sphingobacteriales*,130100,67170,113410,53540
Bacteria,Proteobacteria,Gammaproteobacteria,*Alteromonadales*,44890,9240,38280,220420
Bacteria,Bacteroidota,Bacteroidia,*Cytophagales*,38070,23400,110960,125820
Bacteria,Proteobacteria,Alphaproteobacteria,*Rickettsiales*,89770,50920,66600,69810
Bacteria,Proteobacteria,Alphaproteobacteria,*Caulobacterales*,29290,24210,47840,149140
Bacteria,Nitrospirota,Nitrospiria,*Nitrospirales*,47410,98200,68450,19680
Bacteria,Firmicutes,Clostridia,*Peptostreptococcales-Tissierellales*,68710,83810,32090,42590
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhizobiales*,43970,42230,59050,68980
Bacteria,Cyanobacteria,Vampirivibrionia,*Obscuribacterales*,67750,66340,35740,28530
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhodobacterales*,25650,20790,36070,103470
Bacteria,Proteobacteria,Gammaproteobacteria,*Salinisphaerales*,64720,42520,42690,33710
Bacteria,Proteobacteria,Alphaproteobacteria,*Holosporales*,98150,50400,18560,5960
Bacteria,Planctomycetota,Planctomycetes,*Planctomycetales*,31540,48500,63320,26080
Bacteria,Firmicutes,Clostridia,*Clostridiales*,50660,58730,20120,26800
Bacteria,Bacteroidota,Bacteroidia,*Bacteroidales*,101500,32670,6380,790
Bacteria,Planctomycetota,OM190,*OM190*,31520,28930,56260,7990
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Nomurabacteria*,88600,13900,8880,2250
Bacteria,Proteobacteria,Gammaproteobacteria,*Xanthomonadales*,23050,25640,18880,32880
Bacteria,Proteobacteria,Gammaproteobacteria,*Gammaproteobacteria_Incertae_Sedis*,54120,35390,5060,3020
Bacteria,Dependentiae,Babeliae,*Babeliales*,39890,28950,19800,5800
Bacteria,Planctomycetota,Planctomycetes,*Pirellulales*,18030,33960,23390,15070
Bacteria,Patescibacteria,Parcubacteria,*Parcubacteria*,66510,7800,11250,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Cellvibrionales*,59620,15390,6380,3070
Bacteria,Proteobacteria,Gammaproteobacteria,*CHAB-XI-27*,21610,11080,34620,11680
Bacteria,Proteobacteria,Alphaproteobacteria,*Reyranellales*,13770,10540,9580,41490
Bacteria,Proteobacteria,Alphaproteobacteria,*Paracaedibacterales*,19020,18610,24200,12760
Bacteria,Myxococcota,Polyangia,*Haliangiales*,28860,18300,14280,3880
Bacteria,Bdellovibrionota,Bdellovibrionia,*Bdellovibrionales*,39520,15010,7930,1810
Bacteria,Spirochaetota,Leptospirae,*Leptospirales*,50610,4320,4680,0
Bacteria,Proteobacteria,Class of Proteobacteria,*Order* (*of*) Proteobacteria,24550,17590,12160,4710
Bacteria,Proteobacteria,Gammaproteobacteria,*Oceanospirillales*,19930,11110,14570,3750
Bacteria,Verrucomicrobiota,Chlamydiae,*Chlamydiales*,20100,14840,7500,6220
Bacteria,Proteobacteria,Gammaproteobacteria,*Legionellales*,5600,3130,24450,2410
Bacteria,Actinobacteriota,Actinobacteria,*Order* (*of*) Actinobacteria,19530,10380,3150,2490
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Opitutales*,10620,8800,14980,280
Bacteria,Firmicutes,Bacilli,*Lactobacillales*,21880,8850,1750,1000
Bacteria,Myxococcota,Polyangia,*Polyangiales*,14050,6690,10630,1270
Bacteria,Actinobacteriota,Acidimicrobiia,*Microtrichales*,12500,6840,10000,2510
Bacteria,Bacteroidota,Kapabacteria,*Kapabacteriales*,16320,4810,9800,700
Bacteria,Proteobacteria,Alphaproteobacteria,*Caedibacterales*,9200,17380,3260,1380
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Chthoniobacterales*,10900,9980,8140,1660
