Kingdom,Phylum,Class,Order,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Proteobacteria,Gammaproteobacteria,*Burkholderiales*,28.96,29.18,33.41,39.38
Bacteria,Bacteroidota,Bacteroidia,*Flavobacteriales*,18.71,7.94,15.09,13.91
Bacteria,Proteobacteria,Alphaproteobacteria,*Sphingomonadales*,1.03,1.47,3.35,10.92
Bacteria,Bacteroidota,Bacteroidia,*Chitinophagales*,3.85,4.81,4.01,2.37
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Verrucomicrobiales*,2.26,4.02,5.67,1.58
Bacteria,Chloroflexi,Anaerolineae,*Anaerolineales*,2.77,2.37,4.32,0.13
Bacteria,Patescibacteria,Saccharimonadia,*Saccharimonadales*,6.16,1.73,1.08,0.17
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Pedosphaerales*,1.68,2.34,4.3,0.36
Bacteria,Proteobacteria,Gammaproteobacteria,*Pseudomonadales*,1.99,1.13,0.38,4.65
Bacteria,Bacteroidota,Bacteroidia,*Sphingobacteriales*,2.13,2.24,2.46,1.19
Bacteria,Proteobacteria,Gammaproteobacteria,*Alteromonadales*,0.74,0.32,0.84,4.82
Bacteria,Bacteroidota,Bacteroidia,*Cytophagales*,0.63,0.79,2.38,2.76
Bacteria,Proteobacteria,Alphaproteobacteria,*Rickettsiales*,1.44,1.68,1.43,1.52
Bacteria,Nitrospirota,Nitrospiria,*Nitrospirales*,0.75,3.21,1.46,0.43
Bacteria,Proteobacteria,Alphaproteobacteria,*Caulobacterales*,0.47,0.8,1.03,3.26
Bacteria,Firmicutes,Clostridia,*Peptostreptococcales-Tissierellales*,1.13,2.78,0.69,0.94
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhizobiales*,0.71,1.41,1.3,1.54
Bacteria,Cyanobacteria,Vampirivibrionia,*Obscuribacterales*,1.08,2.17,0.77,0.62
Bacteria,Proteobacteria,Alphaproteobacteria,*Rhodobacterales*,0.42,0.7,0.79,2.28
Bacteria,Proteobacteria,Gammaproteobacteria,*Salinisphaerales*,1.04,1.41,0.92,0.75
Bacteria,Planctomycetota,Planctomycetes,*Planctomycetales*,0.51,1.61,1.37,0.59
Bacteria,Firmicutes,Clostridia,*Clostridiales*,0.85,1.97,0.43,0.61
Bacteria,Proteobacteria,Alphaproteobacteria,*Holosporales*,1.57,1.66,0.4,0.13
Bacteria,Bacteroidota,Bacteroidia,*Bacteroidales*,1.71,1.13,0.15,0.02
Bacteria,Planctomycetota,OM190,*OM190*,0.5,0.95,1.2,0.17
Bacteria,Proteobacteria,Gammaproteobacteria,*Xanthomonadales*,0.39,0.85,0.41,0.74
Bacteria,Planctomycetota,Planctomycetes,*Pirellulales*,0.29,1.11,0.5,0.33
