Kingdom,Phylum,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,*Proteobacteria*,2722950,1444410,2238260,3307800
Bacteria,*Bacteroidota*,1693180,515190,1130370,922570
Bacteria,*Verrucomicrobiota*,294850,235360,496600,96270
Bacteria,*Patescibacteria*,568840,80160,72040,10160
Bacteria,*Chloroflexi*,190930,92790,230660,8630
Bacteria,*Firmicutes*,165790,165610,56550,73570
Bacteria,*Planctomycetota*,91850,129950,152370,56060
Bacteria,*Nitrospirota*,47410,98200,68450,19680
Bacteria,*Cyanobacteria*,80060,75620,36890,28670
Bacteria,*Actinobacteriota*,54810,38730,37800,11700
Bacteria,*Myxococcota*,57770,35070,38440,7970
Bacteria,*Bdellovibrionota*,66830,27610,27730,2350
Bacteria,*Dependentiae*,39890,28950,19800,5800
Bacteria,*Spirochaetota*,51590,4320,4680,0
Bacteria,*Acidobacteriota*,3770,18110,13410,3630
Bacteria,*Campilobacterota*,15540,3030,460,520
Bacteria,*WPS-2*,5310,3310,3020,1780
Bacteria,*Gemmatimonadota*,5180,3360,3490,690
Bacteria,*Fibrobacterota*,10860,860,0,0
Bacteria,*Desulfobacterota*,5600,3460,2070,280
Bacteria,*SAR324_clade(Marine_group_B)*,4470,2720,2450,0
Bacteria,*Hydrogenedentes*,3210,2890,2680,540
Bacteria,*Fusobacteriota*,4340,720,0,0
Bacteria,*Elusimicrobiota*,3360,740,0,0
Archaea,*Halobacterota*,1400,1810,0,0
Archaea,*Euryarchaeota*,1680,490,0,0
Bacteria,*Armatimonadota*,700,260,760,280
Bacteria,*LCP-89*,1820,0,0,0
Bacteria,*RCP2-54*,700,840,0,0
Bacteria,*Sumerlaeota*,0,1400,0,0
Bacteria,*NB1-j*,0,250,330,0
Bacteria,*Dadabacteria*,0,490,0,0
Bacteria,*Modulibacteria*,280,0,0,0
Archaea,*Nanoarchaeota*,0,180,0,0
