Kingdom,Phylum,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,*Proteobacteria*,43.87,47.78,48.18,72.38
Bacteria,*Bacteroidota*,27.39,17.21,24.45,20.29
Bacteria,*Verrucomicrobiota*,4.74,7.75,10.64,2.12
Bacteria,*Patescibacteria*,9.08,2.64,1.55,0.23
Bacteria,*Firmicutes*,2.79,5.6,1.24,1.68
Bacteria,*Chloroflexi*,3.05,3.05,4.93,0.19
Bacteria,*Planctomycetota*,1.48,4.29,3.29,1.25
Bacteria,*Nitrospirota*,0.75,3.21,1.46,0.43
Bacteria,*Cyanobacteria*,1.28,2.48,0.79,0.63
Bacteria,*Actinobacteriota*,0.9,1.3,0.83,0.27
Bacteria,*Myxococcota*,0.96,1.18,0.87,0.18
Bacteria,*Bdellovibrionota*,1.1,0.92,0.6,0.05
Bacteria,*Dependentiae*,0.63,0.95,0.42,0.13
Bacteria,*Spirochaetota*,0.83,0.15,0.1,0
Bacteria,*Acidobacteriota*,0.07,0.6,0.29,0.08
Bacteria,*Campilobacterota*,0.27,0.11,0.01,0.01
Bacteria,*WPS-2*,0.08,0.11,0.07,0.04
Bacteria,*Gemmatimonadota*,0.08,0.11,0.08,0.02
Bacteria,*Desulfobacterota*,0.09,0.12,0.05,0.01
Bacteria,*SAR324_clade(Marine_group_B)*,0.08,0.09,0.06,0
Bacteria,*Hydrogenedentes*,0.05,0.1,0.06,0.01
Bacteria,*Fibrobacterota*,0.18,0.03,0,0
Bacteria,*Fusobacteriota*,0.08,0.03,0,0
Archaea,*Halobacterota*,0.02,0.06,0,0
Bacteria,*Elusimicrobiota*,0.05,0.02,0,0
Bacteria,*Sumerlaeota*,0,0.05,0,0
Bacteria,*Armatimonadota*,0.01,0.01,0.02,0.01
Archaea,*Euryarchaeota*,0.03,0.02,0,0
Bacteria,*RCP2-54*,0.01,0.03,0,0
Bacteria,*LCP-89*,0.03,0,0,0
Bacteria,*NB1-j*,0,0.01,0.01,0
Bacteria,*Dadabacteria*,0,0.02,0,0
Archaea,*Nanoarchaeota*,0,0.01,0,0
Bacteria,*Modulibacteria*,0,0,0,0
