Kingdom,Phylum,Class,Order,Family,Tax_label,ELLY27.29,ELLY31.33,ELLY36.38,ELLY40.42,ELLY52.54,ELLY56.58,ELLY61.63,ELLY65.67
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,*Flavobacterium*,19.45,7.41,16.39,16.99,3.12,1.79,23.31,27.92
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of *Comamonadaceae*,3.52,3.19,16.39,22.47,3.18,2.22,12.96,3.06
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Genus of *Anaerolineaceae*,2.52,2.21,4.13,0.12,6.3,5.66,1.09,0.08
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingopyxis*,0.25,0.43,0.94,9.58,1.1,0.78,4.27,4.7
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Candidatus_Accumulibacter*,3.52,3.51,1.51,0.27,6.17,4.94,0.89,0.23
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,*Rheinheimera*,0.5,0.18,0.8,4.63,2.63,0.43,3.14,8.34
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Genus of *Neisseriaceae*,7.1,6.38,0.32,0.22,0.86,0.72,0.13,0.12
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,*Limnobacter*,0.41,0.5,4.96,0.74,0.22,0.66,0.12,7.02
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,*Prosthecobacter*,1.56,2.56,4.2,1.28,1.56,1.1,1.63,0.5
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Dechloromonas*,2.21,1.86,1.01,0.13,4.02,4.3,0.34,0.05
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,*Pseudomonas*,0.23,0.26,0.14,4.22,1.15,0.52,0.48,6.58
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,*Sphingobacteriales* (*NS11-12_marine_group*),0.57,0.7,1.44,1.47,0.51,0.32,8.01,0.4
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,*Nitrospira*,0.69,2.99,1.4,0.42,2.63,3.19,0.45,0.06
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Zoogloea*,1.58,2,1.02,0.24,2.27,2.19,0.59,0.45
Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,*Unknown_Family*,4.3,5.22,0.14,0.15,0.12,0.13,0,0.01
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,*Emticicia*,0.14,0.26,1.63,2.93,0.12,0.06,0.12,4.43
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,*Candidatus_Obscuribacter*,0.98,2.01,0.73,0.61,0.94,3.39,0.47,0.14
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,*Saccharimonadales*,5.48,1.53,1.01,0.17,0.37,0.17,0.05,0.09
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,*Romboutsia*,0.95,2.5,0.65,0.89,0.62,2.51,0.32,0.12
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,*Nitrosomonas*,0.97,1.56,0.98,0.11,1.56,1.83,0.56,0.04
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Ferribacterium*,1.27,1.07,0.82,0.09,1.83,2.13,0.11,0.02
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,*Herminiimonas*,0.05,0.04,0.05,1.81,0.09,0.06,0.16,4.72
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Genus of *Saprospiraceae*,0.67,0.92,0.91,0.08,2.34,1.53,0.46,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Hydrogenophaga*,0.36,0.33,0.15,1.88,0.35,0.24,0.64,2.86
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Sediminibacterium*,0.78,0.89,0.5,1.01,0.54,0.36,0.84,1.12
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,*Clostridiaceae* (*Clostridium_sensu_stricto_1*),0.7,1.75,0.41,0.58,0.44,1.57,0.19,0.08
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Rhodoferax*,0.88,0.89,0.65,0.22,1.4,1.01,0.54,0.07
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,*Methylotenera*,0.1,0.09,0.13,0.73,0.09,0.06,0.23,4.2
Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Genus of *Solimonadaceae*,0.52,0.62,0.59,0.41,0.74,0.44,1.82,0.47
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Genus of *Rubinisphaeraceae*,0.31,0.84,0.83,0.22,0.96,1.51,0.6,0.11
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Novosphingobium*,0.25,0.29,1.79,0.31,0.29,0.24,1.52,0.25
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Family of Chitinophagales,Genus of *Chitinophagales*,0.74,0.65,0.5,0.04,0.78,0.57,1.04,0.23
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,*Candidatus_Megaira*,0.42,0.53,0.22,0.14,1.07,1.58,0.47,0.04
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Pedosphaeraceae* (*SH3-11*),0.69,0.84,1.25,0.19,0.45,0.36,0.55,0.09
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,*Flavobacteriales* (*NS9_marine_group*),0.33,0.31,0.36,0.06,0.6,0.78,1.87,0.05
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Leptothrix*,0.19,1.13,0.77,0.04,0.86,0.29,1.02,0.03
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Edaphobaculum*,0.46,0.69,0.74,0.94,0.29,0.28,0.73,0.16
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingorhabdus*,0.55,0.54,0.51,0.6,0.54,0.7,0.39,0.47
Bacteria,Planctomycetota,OM190,OM190,OM190,*Planctomycetota* (*OM190*),0.46,0.88,1.14,0.17,0.46,0.68,0.26,0.08
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Genus of *Verrucomicrobiaceae*,0.4,0.91,1.09,0.09,0.36,0.21,0.76,0.3
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Pedosphaeraceae* (*DEV114*),0.44,0.61,1.59,0.07,0.37,0.54,0.12,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,*Polynucleobacter*,0.38,0.34,0.51,1.03,0.19,0.21,0.89,0.18
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Genus of *Oxalobacteraceae*,0.06,0.08,0.3,0.15,0.04,0.02,0.06,2.99
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,*Candidatus_Nomurabacteria*,1.12,0.41,0.19,0.05,0.97,0.15,0.69,0.08
